compound,assay_family,assay,species,direction,effect_detail,citation_short,pmid_doi,quote,caveat,source_lane,verification
valproic_acid,ocular_dominance,"Recovery of visual acuity (VEP electrophysiology + behavioural visual water task) in adult rats long-term monocularly deprived from the critical period, chronic i.p. HDAC inhibitor + reverse lid suture",rodent,opens_window,"Chronic i.p. valproic acid or sodium butyrate, each combined with reverse lid-suturing, produced complete recovery of visual acuity in long-term monocularly deprived adult rats, confirmed both electrophysiologically and behaviourally; neither was tested without the reverse-suture experience.",Silingardi 2010 Eur J Neurosci,PMID 20550570 / doi:10.1111/j.1460-9568.2010.07261.x,"caused a complete recovery of visual acuity, tested electrophysiologically and behaviorally","RODENT ONLY, no effect sizes in the abstract. The load-bearing caveat: the drug alone did nothing measurable - recovery required DRUG + FORCED EXPERIENCE (reverse lid suture). That is the drug x training interaction hypothesis, and the pipeline's pre-registered human test of exactly that hypothesis FAILED with the contrast reversing sign once n>=25 was enforced (G1). So this row should be read as prior-consistent rodent evidence for a hypothesis that has already been falsified once in humans, not as support for it. Two HDAC inhibitors is convergent chemistry but both are pan-HDAC and pleiotropic.",assay-spine-pnn,CONFIRMED
modafinil,other,"TMS battery in healthy adults: paired-pulse intracortical inhibition and facilitation, cortical silent period, stimulus-response curves, M responses and F waves, plus reaction time, nine-hole-peg and d2 attention tests; 200 mg single oral dose vs placebo",human,no_effect,"n=10 healthy volunteers, randomised double-blind crossover, tested pre-dose and at 3 h and 24 h. Modafinil did not change intracortical excitatory or inhibitory properties, corticospinal excitability, or alpha-motoneuronal excitability. Nine-hole-peg and d2 attention performance improved equally in modafinil and placebo arms (practice effect). No significant modafinil-vs-placebo difference on any measure.","Liepert et al., J Neural Transm 2004",PMID 15168217 / doi:10.1007/s00702-004-0111-5,Modafinil did not change excitatory or inhibitory properties in the motor cortex,"Assay family is 'other', NOT tms_ltp: this study measured resting excitability (SICI/ICF, silent period, S-R curve), it did NOT apply any plasticity-induction protocol (no PAS, tDCS or TBS), so it cannot speak to LTP-like plasticity - it only shows modafinil does not shift the baseline against which plasticity would be measured. n=10, single dose, absence of evidence at this power is weak. NOT FOUND: no modafinil x PAS/tDCS/TBS study and no modafinil x human perceptual-learning study exist in this lane.",assay-perceptual-learning-tms,unverified_single_pass
psilocybin_and_lsd,other,"Social reward learning (conditioned place preference) critical-period reopening in adult mice, with RNA-seq of open- vs closed-state differentially expressed genes",rodent,opens_window,Psilocybin pretreatment produced a significant mean shift into the open state (P = 1.12 x 10^-6) versus saline (P = 0.72); LSD (i.p. 1 ug/kg) likewise reopened the critical period (P = 1.76 x 10^-9) versus saline (P = 0.90). Reopening duration was proportional to human acute subjective-effect duration; ECM reorganisation was the shared downstream transcriptomic signature.,Nardou 2023 Nature,PMID 37316665 / doi:10.1038/s41586-023-06204-3,reorganization of the extracellular matrix is a common downstream mechanism underlying psychedelic drug-mediated critical period reopening,"RODENT ONLY. This is the paper most often cited as proof that psychedelics reopen critical periods generally, but the assay is a SOCIAL REWARD window with no cognitive-performance readout, and the ECM claim is TRANSCRIPTOMIC (differentially expressed genes), not a direct PNN measurement - which is exactly where it conflicts with Cannarozzo 2023's direct PNN null. Both cannot be casually folded into one compound-level score. The 'proportional to subjective-effect duration' claim is a cross-species correlation over a handful of drugs, not a tested dose-response.",assay-spine-pnn,unverified_single_pass
donepezil,perceptual_learning,"motion direction discrimination, 5-day training course, double-blind placebo-controlled within-subject crossover, 5 mg oral before each session",human,opens_window,"n=12 healthy adults. Improvement in motion direction discrimination threshold 6.2 +/- 2.1 deg under donepezil vs 2.2 +/- 0.8 deg under placebo; between-condition t36=3.1, p<0.05. Direction selectivity of learning 4.0 +/- 1.2 deg (t36=3.94, p<0.05) vs placebo 1.4 +/- 1.1 deg (t36=1.34, n.s.), difference t36=2.82, p<0.05. Location selectivity 3.0 +/- 1.2 deg (t36=2.36, p<0.05) vs placebo -1.2 +/- 1.0 deg (n.s.), difference t36=2.68, p<0.05. Learning rate also faster under donepezil (permutation test p<0.05).","Rokem & Silver, Curr Biol 2010",PMID 20850321 / doi:10.1016/j.cub.2010.08.027,cholinergic enhancement augmented perceptual learning for stimuli having the same direction of motion and visual field location used during training,"n=12, single lab, drug present during every training session so this is drug-gated encoding, not a drug-free window. Learning gain is stimulus-specific (donepezil INCREASED specificity, i.e. reduced transfer), so it is not general cognitive enhancement. Same cohort feeds the 2013 follow-up (PMID 23755006), which is therefore not independent.",assay-perceptual-learning-tms,CONFIRMED
donepezil,perceptual_learning,"motion direction discrimination, long-term follow-up retest 5-15 months after end of training, no drug administered at follow-up",human,opens_window,"8 of the original 12 subjects retested 5-15 months post-training, drug-free. Percent learning retained: donepezil-trained condition 47.1 +/- 4.6% vs placebo-trained condition 34.2 +/- 6.9%; effect of training condition F(2,12)=6.0, p=0.016; direct comparison signed-rank p=0.036; 7 of 8 participants showed more retained learning in the donepezil-trained condition. Threshold in the donepezil condition essentially unchanged from post-training (7.4 +/- 1.1 deg) to follow-up (7.4 +/- 0.7 deg), i.e. no decay.","Rokem & Silver, Front Comput Neurosci 2013",PMID 23755006 / doi:10.3389/fncom.2013.00066,"Increases in performance associated with training under donepezil were evident in follow-up retesting, indicating that cholinergic enhancement has beneficial long-term effects","THE closest thing in this lane to a durable post-washout gain in healthy adults, and it still fails several G1 bars: n=8, non-independent (subset of PMID 20850321 cohort), single lab, never replicated, no drug-free control training arm at follow-up, retention interval varied 5-15 months per subject. The retained gain is task- and stimulus-specific perceptual learning, not transferable cognition, and the drug acted during training rather than opening a window that persisted.",assay-perceptual-learning-tms,unverified_single_pass
donepezil,perceptual_learning,"3D multiple object tracking (3D-MOT) perceptual-cognitive training, 5 sessions 7 days apart, 5 mg oral 3 h pre-session, parallel-group placebo control",human,mixed,"n=17 healthy young adults (donepezil n=9, placebo n=8). Donepezil group reached significant speed-threshold improvement by session 4 (p=0.003, maintained session 5 p=0.001); placebo group only at session 5 (p=0.002). BUT no significant between-group difference at any timepoint (Kruskal-Wallis p>0.05), despite 20-50% larger percent change from baseline in the donepezil group after week 3. Long-lasting subgroup retest at 4-14 months in n=9 suggested persistence. No effect on basic motion/orientation discrimination (n=10, uncontrolled pre-post).","Chamoun et al., Front Hum Neurosci 2017",PMID 28377707 / doi:10.3389/fnhum.2017.00128,there were no significant drug effects on the performance levels compared to placebo,"The only independent-lab donepezil perceptual-training attempt found, and its between-group test is NULL. The positive claim rests on within-group timing of significance onset, which is a classic difference-in-significance fallacy. Parallel-group design with n=8-9 per arm is badly underpowered. The basic-vision arm had no placebo control. Treat as a partial non-replication of PMID 20850321, not a confirmation.",assay-perceptual-learning-tms,unverified_single_pass
fluoxetine,perceptual_learning,"motion direction discrimination (MDD) perceptual learning over 5 days plus TMS cortical excitability (phosphene and motor thresholds); 19-day 20 mg/day fluoxetine vs placebo, double-blind parallel groups",human,no_effect,"n=20 healthy adults (fluoxetine n=10, placebo n=10). Both groups learned (session effect F3,47=11.4, p<0.001) but session x treatment interaction F3,47=0.51, p=0.7; learning slopes 1.7 +/- 1.2 (active) vs 1.8 +/- 2.4 (placebo), t18=0.1, p=0.9. Full transfer to untrained stimulus in BOTH groups, no group difference. Phosphene thresholds: session x group F4,43=2.0, p=0.11 (n.s.). Resting motor thresholds stable, F6,108=0.72, p=0.6. Separately, a single dose of triazolam (GABA-A positive modulator) selectively impaired UNTRAINED-stimulus performance without affecting trained performance.","Lagas et al., Front Hum Neurosci 2016",PMID 27807412 / doi:10.3389/fnhum.2016.00532,Fluoxetine did not enhance the magnitude or rate of perceptual learning,"Rare and valuable: the SAME subjects were tested on a perceptual-learning assay and on TMS excitability, and both were null - so this null is not an assay-selection artifact. Direct translational failure of the rat fluoxetine/visual-cortex-plasticity result. Caveats: n=10 per arm, parallel groups, phosphene subgroup only n=13 total (8 placebo vs 5 active), and TMS here measured excitability, not an LTP-induction protocol. Fluoxetine is not citalopram, so the SSRI contrast with PMID 19427633 is class-level, not compound-level.",assay-perceptual-learning-tms,unverified_single_pass
nicotine,perceptual_learning,"texture discrimination task (TDT), overnight consolidation; nicotine-containing chewing tobacco for 1 h immediately post-training vs matched non-nicotine control substance",human,opens_window,"Two groups of non-smoking men; nicotine given only during the post-training consolidation window, not during training or retest. Both groups improved in accuracy and speed at next-day retest, with improvements specific to retinal location and texture orientation (implicating early visual cortex). Group comparison showed learning effects were larger in the nicotine group. Concurrent EEG showed reduced alpha activity and shorter P300 latencies under nicotine.","Beer et al., Neuropharmacology 2013",PMID 22749926 / doi:10.1016/j.neuropharm.2012.06.019,learning effects were more pronounced in the nicotine group than in the control group,"NO numeric test statistic is reported in the abstract and the full text is paywalled - the effect size and p value are UNVERIFIED by me. Parallel-group (not crossover), men only, sample size not stated in the abstract. Route is oral chewing tobacco, so dose and plasma level are uncontrolled. Directionally this row conflicts with PMID 23133419 (nicotine spray abolished facilitatory plasticity), so the nicotine sign is assay- and route-dependent.",assay-perceptual-learning-tms,unverified_single_pass
valproic_acid,perceptual_learning,"Double-blind placebo-controlled absolute-pitch (AP) training in healthy adult men, 2 weeks valproate vs placebo, 18-item pitch identification test; parallel arm then crossover arm",human,opens_window,"Arm 1 (n=23): VPA 5.09 vs placebo 3.50 correct of 18 (chance = 3); one-way ANOVA effect of Condition F(1,21)=6.37, p=0.02. VPA group above chance t(10)=4.08 p=0.002; placebo at chance t(11)=1.32 p=0.21. No correlation of AP score with blood VPA (r=0.36, n=11, p=0.28) or with training sessions completed (r=0.13, n=23, p=0.55).",Gervain 2013 Front Syst Neurosci,PMID 24348349 / doi:10.3389/fnsys.2013.00102,adult men who took valproate (VPA) (a HDAC inhibitor) learned to identify pitch significantly better than those taking placebo,"THE ONLY HUMAN ROW IN THIS LANE, and it is far weaker than its citation record implies. The crossover arm did NOT replicate cleanly: significant Condition x Order interaction F(1,15)=8.85 p=0.009, with the effect present only in the VPA-first group F(1,8)=20.25 p=0.002 and ABSENT in the placebo-first group F(1,7)=1.13 p=0.32 - i.e. order-dependent, consistent with carryover or an unblinding/expectancy artefact (VPA has salient side effects). No baseline AP score was obtainable by design. Males only, n=23, single site, p=0.02 in the primary arm. Dose-response is null (no blood-level correlation). Crucially it is a PERCEPTUAL-LEARNING window, not spine or PNN - so it cannot be used to validate any spine/PNN-derived window label, and it is ON-DRUG with no post-washout retest, so it adds nothing to the G1 durable-gain ledger.",assay-spine-pnn,unverified_single_pass
chondroitinase_abc,pnn_ecm,"Long-term novel object recognition memory and perirhinal cortex LTD after localised PNN digestion in adult mice, benchmarked against Crtl1/Hapln1 knockout",rodent,opens_window,"Genetic PNN attenuation (Crtl1 KO) enhanced long-term object recognition memory and facilitated perirhinal LTD; localised chondroitinase-ABC digestion produced an identical prolongation of memory. The chABC memory enhancement ATTENUATED over time, tracking PNN regeneration.",Romberg 2013 J Neurosci,PMID 23595763 / doi:10.1523/JNEUROSCI.6267-11.2013,Identical prolongation of memory follows localized digestion of PNNs with chondroitinase ABC,"RODENT ONLY - but the closest thing in this lane to an actual COGNITIVE ENHANCEMENT result from PNN removal, and it explicitly FADES as PNNs regrow. That is the cleanest available statement that the PNN 'window' effect is not durable post-washout, which is the exact quantity G1 finds has zero verified human examples. Convergent genetic + enzymatic evidence is a strength; the object-recognition confounds and the bacterial-enzyme G2 problem remain. No effect sizes in the abstract.",assay-spine-pnn,unverified_single_pass
citalopram,tms_ltp,"anodal and cathodal tDCS of M1; single 20 mg oral dose of citalopram vs placebo, single-blind randomised crossover, single-pulse TMS MEP readout",human,opens_window,"n=12 healthy subjects. Under placebo, anodal tDCS enhanced and cathodal tDCS reduced excitability for about 60-120 min. Citalopram enhanced and prolonged anodal-tDCS facilitation and CONVERTED cathodal-tDCS-induced inhibition into facilitation - i.e. it biased plasticity toward facilitation in both directions of induction.","Nitsche et al., Biol Psychiatry 2009",PMID 19427633 / doi:10.1016/j.biopsych.2009.03.022,"Citalopram enhanced and prolonged the facilitation induced by anodal tDCS, whereas it turned cathodal tDCS-induced inhibition into facilitation","Directionally consistent (facilitation-biased) within this assay, but the conversion of LTD-like into LTP-like plasticity means the drug is not 'enhancing plasticity' - it is biasing sign, which a window score would misread. n=12, SINGLE-blind (not double), Gottingen lab, single acute dose. Contrast sharply with the fluoxetine double-null on perceptual learning AND excitability (PMID 27807412): the serotonergic 'window' does not survive the change of assay or of compound within class.",assay-perceptual-learning-tms,unverified_single_pass
citalopram,tms_ltp,"facilitatory PAS-25 and excitability-diminishing PAS-10 of left M1; single 20 mg oral citalopram vs placebo, single-blind randomised crossover, MEPs tracked to the next evening",human,mixed,"n=14 healthy subjects. After citalopram, inhibitory PAS-induced after-effects were ABOLISHED and excitatory PAS-induced after-effects were enhanced only TRENDWISE (not significant) versus the respective placebo conditions. Authors interpret this as serotonin shifting PAS plasticity toward facilitation.","Batsikadze et al., Neuropsychopharmacology 2013",PMID 23680943 / doi:10.1038/npp.2013.127,inhibitory PAS-induced after-effects were abolished and excitatory PAS-induced after-effects were enhanced trendwise,"The facilitatory half of the effect is a NON-SIGNIFICANT trend - the significant result is the removal of inhibitory plasticity. Read strictly, citalopram did not significantly open the focal LTP-like door; it closed the LTD-like one. That is a weaker and differently-signed result than the same lab's tDCS study (PMID 19427633), i.e. citalopram is also assay-dependent. n=14, single-blind, Gottingen, single acute dose, left M1 only.",assay-perceptual-learning-tms,unverified_single_pass
d_amphetamine,tms_ltp,"anodal tDCS of M1, MEP readout to the morning after stimulation; amphetamine vs placebo, with dextromethorphan and propranolol control arms",human,opens_window,"Amphetamine significantly enhanced and prolonged anodal-tDCS-induced excitability increases: after-effects lasted until the morning after tDCS vs approximately 1 h under placebo. Prolongation was most pronounced for long-term effects; short-term enhancement was only slightly increased. Co-administered dextromethorphan (NMDA antagonist) blocked the enhancement entirely, and propranolol (beta-adrenergic antagonist) shortened the after-effects.","Nitsche et al., Cereb Cortex 2004",PMID 15142961 / doi:10.1093/cercor/bhh085,"Amphetamine significantly enhanced and prolonged increases in anodal, tDCS-induced, long-lasting excitability","The dextromethorphan and propranolol arms make the mechanism claim (NMDA-dependent consolidation, adrenergically gated) unusually well supported for this literature. But: no sample size or numeric statistics in the abstract, single lab (Gottingen), only the FACILITATORY protocol is reported here, so within-drug assay-dependence was not tested. NOT FOUND: no human perceptual-learning counterpart for amphetamine, so amphetamine contributes nothing to the cross-family sign-consistency test.",assay-perceptual-learning-tms,unverified_single_pass
d_cycloserine,tms_ltp,"anodal and cathodal tDCS of M1, MEP readout; partial NMDA agonist D-cycloserine vs placebo",human,opens_window,"D-cycloserine selectively potentiated the DURATION (not the initial magnitude) of anodal-tDCS-induced motor cortical excitability enhancement. Cathodal-tDCS-induced inhibition was unaffected. D-cycloserine alone did not modulate excitability, so the drug consolidated stimulation-induced plasticity rather than inducing it.","Nitsche et al., Neuropsychopharmacology 2004",PMID 15199378 / doi:10.1038/sj.npp.1300517,D-CYC selectively potentiated the duration of motor cortical excitability enhancements induced by anodal tDCS,"No sample size and no numeric test statistics in the abstract; not independently verified by me beyond the abstract text. Effect is consolidation-of-induced-plasticity, which is the theoretically cleanest 'window' story in the set, but it is single-lab (Gottingen) and has no perceptual-learning counterpart - NOT FOUND: no human perceptual-learning study of d-cycloserine. Selectivity for the facilitatory direction means even this compound does not scale a generic 'window'.",assay-perceptual-learning-tms,unverified_single_pass
ketamine,tms_ltp,"visual sensory tetanisation (EEG visual LTP): high-frequency visual stimulation, change in visual evoked potential N1 and P2; single 0.44 mg/kg IV ketamine vs active placebo (remifentanil 1.7 ng/mL), double-blind crossover",human,opens_window,"n=30 patients with depression, LTP recorded 3-4 h post-infusion. Visual LTP was demonstrated in both components: N1 p=0.00002, P2 p=2.31 x 10-11. Ketamine specifically enhanced P2 potentiation relative to active placebo, p=0.017. Dynamic causal modelling showed recruitment of forward and intrinsic connections with complementary ketamine effects. 70% of participants had >=50% reduction in MADRS within 1 day.","Sumner et al., Biol Psychiatry CNNI 2020",PMID 31495712 / doi:10.1016/j.bpsc.2019.07.002,Ketamine specifically enhanced P2 potentiation compared with placebo (p = .017),"PATIENTS WITH DEPRESSION, not healthy adults - so it does not bear on the healthy-adult ledger, and a baseline-deficit-correction reading is fully available (cf. the doc-291-style 'restores impaired' vs 'enhances normal' distinction). Only 1 of 2 components moved (N1 null, P2 p=0.017, uncorrected for the two components). Single timepoint 3-4 h post-dose, so nothing about durability. Active placebo is remifentanil, an opioid, which is not inert for arousal. NOT FOUND: no equivalent healthy-adult ketamine visual-LTP study.",assay-perceptual-learning-tms,unverified_single_pass
levodopa,tms_ltp,anodal/cathodal tDCS (non-focal) and PAS-25 (focal) of M1; dopamine precursor levodopa vs placebo in healthy subjects,human,mixed,"Levodopa REVERSED the sign of non-focal plasticity - anodal-tDCS excitability enhancement became inhibition - while prolonging cathodal-tDCS inhibition, and it STABILISED the focal PAS-25 excitability increase. All after-effects, regardless of sign, were prolonged by a factor of roughly 20.","Kuo, Paulus & Nitsche, Cereb Cortex 2008",PMID 17591596 / doi:10.1093/cercor/bhm098,administering L-dopa turns the unspecific excitability enhancement caused by anodal tDCS into inhibition,"An outright SIGN REVERSAL in one assay (tDCS) alongside stabilisation in another (PAS), same drug, same study. A compound-level 'opens window' label for levodopa would be flatly wrong. No sample size or numeric statistics in the abstract (single-lab Gottingen, typical n=12). The '20x prolongation' is the headline number but it applies to inhibitory as well as facilitatory after-effects, so it is a duration effect, not a directional enhancement.",assay-perceptual-learning-tms,unverified_single_pass
levodopa,tms_ltp,"anodal and cathodal tDCS of M1 under 25, 100 and 200 mg L-dopa vs placebo; MEP readout; dose-response design",human,mixed,"n=12 healthy subjects. Relative to placebo, LOW (25 mg) and HIGH (200 mg) doses abolished both facilitatory and inhibitory plasticity; the MEDIUM (100 mg) dose prolonged inhibitory plasticity and converted facilitatory plasticity into inhibition. Result is an inverted-U, non-linear dose dependence of cortical plasticity on dopamine.","Monte-Silva et al., J Physiol 2010",PMID 20660568 / doi:10.1113/jphysiol.2010.190181,low and high dosages of L-dopa abolished facilitatory as well as inhibitory plasticity,"Independent of the assay-dependence problem, this row shows DOSE alone flips the sign within a single assay in a single cohort. Any compound-level window score must therefore be dose-indexed as well as assay-indexed, and any dose-blind DTI/affinity model is predicting a quantity that does not exist. Caveats: n=12, Gottingen lab, no dose above 200 mg tested, and none of the three doses actually IMPROVED facilitatory plasticity - the 'optimal dose' is inferred, not observed.",assay-perceptual-learning-tms,unverified_single_pass
nicotine,tms_ltp,"PAS-25 (focal facilitatory), PAS-10 (focal inhibitory), anodal and cathodal tDCS of M1; transdermal nicotine patch vs placebo patch in non-smokers; MEP readout to the evening of the following day",human,mixed,"n=48 non-smokers (12 per stimulation protocol), placebo-controlled crossover. Nicotine x Stimulation interaction F(3,44)=5.498, p=0.003; Time x Stimulation F(30,440)=3.070, p<0.001; three-way Nicotine x Time x Stimulation F(30,440)=1.848, p=0.005. By protocol: PAS-25 facilitation slightly PROLONGED (significantly larger MEPs at 120 min); PAS-10 inhibition ABOLISHED; anodal-tDCS facilitation ABOLISHED (post-tDCS MEPs not different from baseline); cathodal-tDCS inhibition eliminated, only trendwise vs placebo.","Thirugnanasambandam et al., Neuropsychopharmacology 2011",PMID 21160466 / doi:10.1038/npp.2010.227,Nicotine abolished or reduced both PAS- and tDCS-induced inhibitory neuroplasticity,"A within-study, within-drug sign flip across assays: focal PAS facilitation preserved/prolonged while non-focal tDCS facilitation was abolished. Directly falsifies a compound-level window label for nicotine. Caveats: n=12 per protocol (between-protocol comparisons are between-subjects), Gottingen lab, left M1 MEP readout only, patch route gives slow sustained levels unlike smoking. Authors frame this as a 'focusing' effect, which is a mechanism claim, not a window claim.",assay-perceptual-learning-tms,unverified_single_pass
nicotine,tms_ltp,"PAS-25, PAS-10, anodal and cathodal tDCS of M1; fast-acting nicotine SPRAY vs placebo in non-smokers",human,closes_window,"n=48 non-smokers, placebo-controlled. Nicotine spray abolished facilitatory plasticity regardless of whether it was focal (PAS-25) or non-focal (anodal tDCS), abolished PAS-10-induced inhibition, and delayed/weakened cathodal-tDCS excitability reduction.","Grundey et al., Front Pharmacol 2012",PMID 23133419 / doi:10.3389/fphar.2012.00186,Nicotine spray abolished facilitatory plasticity irrespective of focality and PAS-10-induced excitability diminution,"CONTRADICTS the same group's own patch study (PMID 21160466), where focal PAS-25 facilitation was preserved/enhanced. Same lab, same protocols, same subject type - only the ROUTE/kinetics differed. This means nicotine's window sign is not even stable within one lab, let alone across assays. It also contradicts PMID 19640784 (nicotine lozenge enhanced iTBS facilitation). No numeric statistics extracted; abstract reports direction only.",assay-perceptual-learning-tms,unverified_single_pass
nicotine,tms_ltp,"intermittent theta burst stimulation (iTBS) of M1, MEPs recorded 40 min post-stimulation; 4 mg nicotine lozenge vs placebo lozenge 60 min pre-iTBS, double-blind crossover",human,opens_window,"n=10 healthy subjects. Under placebo, iTBS-induced MEP facilitation lasted only ~5 min. Under nicotine, facilitation was more pronounced and still present at 40 min post-iTBS. Control experiment: nicotine alone (no iTBS) had no effect on MEP amplitudes, so the drug did not shift baseline excitability.","Swayne et al., Clin Neurophysiol 2009",PMID 19640784 / doi:10.1016/j.clinph.2009.06.013,These data indicate that the effects of iTBS can be enhanced and prolonged by nicotine,"The only TBS-protocol drug row found for any of the eight target compounds, and the only non-Gottingen nicotine plasticity row (UCL/Rothwell). Its POSITIVE sign for facilitatory plasticity directly opposes PMID 23133419, which abolished facilitatory plasticity with nicotine spray. n=10, 40 min follow-up only (cannot speak to durability), readout is corticospinal MEP amplitude, an indirect LTP proxy. Placebo-arm iTBS effect lasting only 5 min is itself weak, so the interaction rests on an unusually small placebo response.",assay-perceptual-learning-tms,unverified_single_pass
rivastigmine,tms_ltp,"anodal/cathodal tDCS (non-focal) and PAS-25/PAS-10 (focal, synapse-specific) of M1; cholinesterase inhibitor rivastigmine vs placebo, same healthy subjects",human,mixed,"n=12 (tDCS), n=10 (PAS-25), n=10 (PAS-10). Rivastigmine BLOCKED anodal-tDCS excitability enhancement (under placebo the increase stayed significant to 30 min post-tDCS; under drug it was prevented). Cathodal-tDCS inhibition was first reduced then PROLONGED (significant to 2 h vs return to baseline by 60 min under placebo). Facilitatory PAS-25 was ENHANCED and prolonged, drug x PAS interaction F=23.886, p<0.001. Inhibitory PAS-10 was enhanced and prolonged to the same-day evening vs ~30 min under placebo.","Kuo et al., J Neurosci 2007",PMID 18160652 / doi:10.1523/JNEUROSCI.4104-07.2007,Rivastigmine essentially blocked the induction of the global excitability enhancement elicited by anodal tDCS,"THE strongest single piece of evidence for G3 in this lane: the same cholinergic drug, the same subjects, the same session, and the sign of the plasticity effect reverses depending on the induction protocol - so the flip cannot be a cohort, dose, or lab artifact. Compound is rivastigmine, NOT donepezil, so it is class-level not compound-level evidence for the donepezil PL-vs-OD flip. n=10-12 per protocol, Gottingen lab, M1 MEP readout.",assay-perceptual-learning-tms,unverified_single_pass
